bundesland,diesel,e5,e10,date
bundesweit,2.183050489947096,2.0899956284277748,1.9715916831694469,2022-03-25 00:00:00
Baden-Württemberg,2.181624323885136,2.108405111776586,2.0179590268588807,2022-03-26 00:00:00
Bayern,2.1914562096808643,2.096020827103004,1.9655837569957704,2022-03-26 00:00:00
Berlin,2.174825445515629,2.118145486415425,2.047836546888694,2022-03-26 00:00:00
Brandenburg,2.184661003861004,2.0883291781577498,1.9977953667953667,2022-03-26 00:00:00
Bremen,2.185722032242306,2.131906692721055,2.0453468490473865,2022-03-26 00:00:00
Hamburg,2.16386827458256,2.106860853432282,2.019577736549165,2022-03-26 00:00:00
Hessen,2.17434338415208,2.093838923395445,1.9906050065876155,2022-03-26 00:00:00
Mecklenburg-Vorpommern,2.1761200379191847,2.032692380613817,1.9204422324920016,2022-03-26 00:00:00
Niedersachsen,2.1730327959247977,2.0587666211532403,1.8742021583867243,2022-03-26 00:00:00
Nordrhein-Westfalen,2.165470922928069,2.0808834028911,1.9875951737981428,2022-03-26 00:00:00
Rheinland-Pfalz,2.1539885151155898,2.0805787640782456,1.9978511410788384,2022-03-26 00:00:00
Saarland,2.154576923076923,2.079989409141583,1.9715415273132664,2022-03-26 00:00:00
Sachsen,2.1639949634443543,2.110892282696994,1.9978889520714864,2022-03-26 00:00:00
Sachsen-Anhalt,2.168521625026244,2.0695033592273777,1.9171901112744072,2022-03-26 00:00:00
Schleswig-Holstein,2.1757029459272363,2.0520778401661413,1.8894480424582725,2022-03-26 00:00:00
Thüringen,2.183576086956521,2.097526064773736,1.9297858251996447,2022-03-26 00:00:00
bundesweit,2.1746554205545583,2.085830450590792,1.9684132701810373,2022-03-26 00:00:00
Baden-Württemberg,2.1810241872033704,2.112002715667115,2.026244866881552,2022-03-27 00:00:00
Bayern,2.193807959584372,2.096945333009773,1.968150234948929,2022-03-27 00:00:00
Berlin,2.1659377408834866,2.115974503409428,2.045915801956715,2022-03-27 00:00:00
Brandenburg,2.1821221550302363,2.097409675645959,2.00630049477735,2022-03-27 00:00:00
Bremen,2.180619097042034,2.1272874935132333,2.0488329008822004,2022-03-27 00:00:00
Hamburg,2.1567810005839982,2.102858477710726,2.0140077866459025,2022-03-27 00:00:00
Hessen,2.168364181970952,2.0918114672108192,1.9848416356579843,2022-03-27 00:00:00
